order_id,customer_id,order_date,product_name,category,quantity,unit_price,revenue
ORD-0000001,CUST-0695,2023-01-01,Bluetooth Speaker,Electronics,1,58.85,58.85
ORD-0000002,CUST-0373,2023-01-01,Adjustable Dumbbell,Sports,2,55.53,111.06
ORD-0000003,CUST-0046,2023-01-01,Wireless Headphones,Electronics,1,42.07,42.07
ORD-0000004,CUST-0126,2023-01-01,Project Management Fieldbook,Books,3,9.78,29.34
ORD-0000005,CUST-0073,2023-01-01,Training Cones,Sports,1,78.79,78.79
ORD-0000006,CUST-0402,2023-01-01,Retinol Night Cream,Beauty,1,12.68,12.68
ORD-0000007,CUST-0946,2023-01-01,Winter Coat,Clothing,1,50.04,50.04
ORD-0000008,CUST-0453,2023-01-01,Trail Backpack,Sports,3,16.08,48.24
ORD-0000009,CUST-0609,2023-01-01,Memory Foam Pillow,Home & Kitchen,1,51.68,51.68
ORD-0000010,CUST-0057,2023-01-01,Tennis Racket,Sports,2,55.48,110.96
ORD-0000011,CUST-0272,2023-01-01,Sheet Mask Bundle,Beauty,2,44.94,89.88
ORD-0000012,CUST-0056,2023-01-01,Spice Rack Organizer,Home & Kitchen,1,28.25,28.25
ORD-0000013,CUST-0265,2023-01-01,Healthy Meal Prep,Books,2,14.49,28.98
ORD-0000014,CUST-0159,2023-01-02,Desk Organizer,Home & Kitchen,1,29.36,29.36
ORD-0000015,CUST-0474,2023-01-02,Desk Organizer,Home & Kitchen,2,14.46,28.92
ORD-0000016,CUST-0436,2023-01-02,Matte Lipstick,Beauty,3,62.68,188.04
ORD-0000017,CUST-0807,2023-01-02,Body Lotion,Beauty,3,45.88,137.64
ORD-0000018,CUST-0118,2023-01-02,Knit Cardigan,Clothing,1,47.93,47.93
ORD-0000019,CUST-0810,2023-01-02,Conditioner Bar,Beauty,3,23.84,71.52
ORD-0000020,CUST-0970,2023-01-02,Graphic T-Shirt,Clothing,1,64.63,64.63
ORD-0000021,CUST-0862,2023-01-02,Fitness Nutrition Manual,Books,1,25.98,25.98
ORD-0000022,CUST-0589,2023-01-02,E-reader,Electronics,1,719.37,719.37
ORD-0000023,CUST-0133,2023-01-02,LED Desk Lamp,Electronics,1,62.39,62.39
ORD-0000024,CUST-0915,2023-01-02,Glass Food Containers,Home & Kitchen,1,81.78,81.78
ORD-0000025,CUST-0621,2023-01-03,Pleated Skirt,Clothing,1,27.94,27.94
ORD-0000026,CUST-0920,2023-01-03,Cotton Bath Towels,Home & Kitchen,2,20.32,40.64
ORD-0000027,CUST-0990,2023-01-03,Laundry Hamper,Home & Kitchen,2,19.37,38.74
