order_id,customer,date,product,category,quantity,unit_price,revenue
ORD-000001,CUST-0596,2023-01-01,Portable Charger,Electronics,2,68.78,137.56
ORD-000002,CUST-0003,2023-01-01,Kitchen Knife Set,Home & Kitchen,1,76.13,76.13
ORD-000003,CUST-0002,2023-01-01,Insulated Water Bottle,Sports,3,17.64,52.92
ORD-000004,CUST-0013,2023-01-02,Air Fryer,Home & Kitchen,1,124.42,124.42
ORD-000005,CUST-0104,2023-01-02,Running Shoes,Clothing,1,61.01,61.01
ORD-000006,CUST-0214,2023-01-02,Makeup Brush Set,Beauty,1,8.75,8.75
ORD-000007,CUST-0021,2023-01-03,Yoga Leggings,Clothing,2,101.59,203.18
ORD-000008,CUST-0174,2023-01-03,Vitamin C Serum,Beauty,2,57.42,114.84
ORD-000009,CUST-0097,2023-01-03,Sheet Mask Bundle,Beauty,1,18.31,18.31
ORD-000010,CUST-0009,2023-01-03,Healthy Meal Prep,Books,2,17.18,34.36
ORD-000011,CUST-0366,2023-01-04,Wireless Headphones,Electronics,1,129.3,129.3
ORD-000012,CUST-0032,2023-01-05,Electric Kettle,Home & Kitchen,1,43.45,43.45
ORD-000013,CUST-0055,2023-01-05,Kitchen Knife Set,Home & Kitchen,1,253.94,253.94
ORD-000014,CUST-0048,2023-01-05,Bluetooth Speaker,Electronics,2,60.28,120.56
ORD-000015,CUST-0011,2023-01-06,Kitchen Knife Set,Home & Kitchen,1,39.66,39.66
ORD-000016,CUST-0189,2023-01-06,Data Analytics Primer,Books,1,9.75,9.75
ORD-000017,CUST-0021,2023-01-06,Wireless Headphones,Electronics,4,58.02,232.08
ORD-000018,CUST-0012,2023-01-06,Smart Watch,Electronics,1,222.89,222.89
ORD-000019,CUST-0069,2023-01-07,Air Fryer,Home & Kitchen,1,119.82,119.82
ORD-000020,CUST-0290,2023-01-07,Cotton Hoodie,Clothing,1,110.09,110.09
ORD-000021,CUST-0484,2023-01-07,Cotton Hoodie,Clothing,2,32.54,65.08
ORD-000022,CUST-0001,2023-01-07,Rain Jacket,Clothing,2,56.27,112.54
ORD-000023,CUST-0225,2023-01-07,Resistance Bands,Sports,1,26.1,26.1
ORD-000024,CUST-0001,2023-01-08,Modern JavaScript Guide,Books,2,39.22,78.44
ORD-000025,CUST-0089,2023-01-08,Air Fryer,Home & Kitchen,1,22.86,22.86
ORD-000026,CUST-0017,2023-01-09,Yoga Mat,Sports,1,74.39,74.39
ORD-000027,CUST-0279,2023-01-09,Running Shoes,Clothing,1,104.61,104.61
ORD-000028,CUST-0039,2023-01-09,Running Shoes,Clothing,4,70.56,282.24
ORD-000029,CUST-0257,2023-01-09,Coffee Grinder,Home & Kitchen,1,43.6,43.6
ORD-000030,CUST-0374,2023-01-10,Graphic T-Shirt,Clothing,1,30.24,30.24
ORD-000031,CUST-0016,2023-01-10,Graphic T-Shirt,Clothing,4,80.67,322.68
ORD-000032,CUST-0014,2023-01-11,Leadership Playbook,Books,1,9.54,9.54
ORD-000033,CUST-0018,2023-01-12,Insulated Water Bottle,Sports,1,10.83,10.83
ORD-000034,CUST-0511,2023-01-12,Yoga Leggings,Clothing,2,82.33,164.66
ORD-000035,CUST-0589,2023-01-12,Yoga Leggings,Clothing,1,113.88,113.88
ORD-000036,CUST-0421,2023-01-12,Basketball,Sports,2,44.85,89.7
ORD-000037,CUST-0032,2023-01-12,Coffee Grinder,Home & Kitchen,2,44.25,88.5
ORD-000038,CUST-0249,2023-01-12,Business Strategy Handbook,Books,3,6.71,20.13
ORD-000039,CUST-0047,2023-01-13,Yoga Leggings,Clothing,3,98.48,295.44
ORD-000040,CUST-0115,2023-01-14,Resistance Bands,Sports,1,22.57,22.57
ORD-000041,CUST-0372,2023-01-14,Wireless Headphones,Electronics,4,42.25,169.0
ORD-000042,CUST-0186,2023-01-14,Vitamin C Serum,Beauty,1,13.25,13.25
ORD-000043,CUST-0259,2023-01-15,Hair Dryer,Beauty,1,12.47,12.47
ORD-000044,CUST-0458,2023-01-15,Smart Watch,Electronics,3,358.13,1074.39
ORD-000045,CUST-0101,2023-01-15,Air Fryer,Home & Kitchen,3,27.45,82.35
ORD-000046,CUST-0024,2023-01-15,Laptop Stand,Electronics,2,366.66,733.32
ORD-000047,CUST-0056,2023-01-15,Bamboo Cutting Board,Home & Kitchen,1,272.11,272.11
ORD-000048,CUST-0038,2023-01-16,Modern JavaScript Guide,Books,1,25.62,25.62
ORD-000049,CUST-0001,2023-01-16,Vitamin C Serum,Beauty,3,33.22,99.66
ORD-000050,CUST-0087,2023-01-16,Modern JavaScript Guide,Books,1,19.22,19.22
ORD-000051,CUST-0061,2023-01-16,Smart Watch,Electronics,1,142.7,142.7
ORD-000052,CUST-0172,2023-01-16,Wireless Headphones,Electronics,1,38.72,38.72
ORD-000053,CUST-0122,2023-01-16,Face Moisturizer,Beauty,3,63.89,191.67
ORD-000054,CUST-0469,2023-01-17,Makeup Brush Set,Beauty,3,60.19,180.57
ORD-000055,CUST-0027,2023-01-18,Healthy Meal Prep,Books,2,9.52,19.04
ORD-000056,CUST-0129,2023-01-18,Vitamin C Serum,Beauty,2,65.91,131.82
ORD-000057,CUST-0007,2023-01-18,Hair Dryer,Beauty,1,20.2,20.2
ORD-000058,CUST-0372,2023-01-18,Graphic T-Shirt,Clothing,1,104.28,104.28
ORD-000059,CUST-0010,2023-01-18,Hair Dryer,Beauty,1,8.72,8.72
ORD-000060,CUST-0536,2023-01-19,Rain Jacket,Clothing,3,20.14,60.42
ORD-000061,CUST-0011,2023-01-19,Robot Vacuum,Home & Kitchen,1,242.56,242.56
ORD-000062,CUST-0508,2023-01-19,Cotton Hoodie,Clothing,1,65.43,65.43
ORD-000063,CUST-0493,2023-01-19,Bamboo Cutting Board,Home & Kitchen,1,246.8,246.8
ORD-000064,CUST-0356,2023-01-19,Mechanical Keyboard,Electronics,1,131.1,131.1
ORD-000065,CUST-0166,2023-01-20,Leadership Playbook,Books,2,10.34,20.68
ORD-000066,CUST-0249,2023-01-20,Air Fryer,Home & Kitchen,1,25.13,25.13
ORD-000067,CUST-0331,2023-01-20,Cotton Hoodie,Clothing,1,29.14,29.14
ORD-000068,CUST-0229,2023-01-20,Kitchen Knife Set,Home & Kitchen,1,81.71,81.71
ORD-000069,CUST-0035,2023-01-21,Resistance Bands,Sports,1,44.6,44.6
ORD-000070,CUST-0287,2023-01-21,Smart Watch,Electronics,1,142.59,142.59
ORD-000071,CUST-0087,2023-01-21,Laptop Stand,Electronics,2,718.52,1437.04
ORD-000072,CUST-0151,2023-01-22,Foam Roller,Sports,1,25.35,25.35
ORD-000073,CUST-0553,2023-01-22,Insulated Water Bottle,Sports,2,40.78,81.56
ORD-000074,CUST-0189,2023-01-22,Rain Jacket,Clothing,1,29.05,29.05
ORD-000075,CUST-0074,2023-01-22,Laptop Stand,Electronics,1,41.3,41.3
ORD-000076,CUST-0066,2023-01-23,Mechanical Keyboard,Electronics,3,215.19,645.57
ORD-000077,CUST-0110,2023-01-23,Foam Roller,Sports,1,18.8,18.8
ORD-000078,CUST-0053,2023-01-24,Body Lotion,Beauty,2,13.72,27.44
ORD-000079,CUST-0008,2023-01-24,Yoga Leggings,Clothing,1,83.43,83.43
ORD-000080,CUST-0162,2023-01-24,Wireless Headphones,Electronics,3,650.5,1951.5
ORD-000081,CUST-0026,2023-01-24,Running Shoes,Clothing,2,58.57,117.14
ORD-000082,CUST-0015,2023-01-24,Cotton Hoodie,Clothing,1,30.27,30.27
ORD-000083,CUST-0139,2023-01-24,Wireless Headphones,Electronics,1,640.6,640.6
ORD-000084,CUST-0098,2023-01-25,Vitamin C Serum,Beauty,2,12.68,25.36
ORD-000085,CUST-0253,2023-01-25,Face Moisturizer,Beauty,3,24.84,74.52
ORD-000086,CUST-0451,2023-01-25,Bluetooth Speaker,Electronics,1,359.45,359.45
ORD-000087,CUST-0022,2023-01-25,Sunscreen SPF 50,Beauty,1,60.04,60.04
ORD-000088,CUST-0187,2023-01-25,Face Moisturizer,Beauty,1,25.89,25.89
ORD-000089,CUST-0003,2023-01-26,Webcam Pro,Electronics,1,135.39,135.39
ORD-000090,CUST-0466,2023-01-27,Electric Kettle,Home & Kitchen,2,17.1,34.2
