order_id,customer_id,order_date,product_name,category,quantity,unit_price,revenue
ORD-000001,CUST-0538,2023-04-01,Portable Charger,Electronics,1,62.80,62.80
ORD-000002,CUST-0009,2023-12-08,Cotton Hoodie,Clothing,1,46.10,46.10
ORD-000003,CUST-0469,2023-12-09,Resistance Bands,Sports,1,41.46,41.46
ORD-000004,CUST-0544,2023-11-16,Foam Roller,Sports,1,42.09,42.09
ORD-000005,CUST-0147,2023-10-12,Bed Sheet Set,Home & Kitchen,1,20.18,20.18
ORD-000006,CUST-0194,2024-12-04,Cotton Hoodie,Clothing,1,19.30,19.30
ORD-000007,CUST-0726,2024-11-01,Wireless Headphones,Electronics,1,62.58,62.58
ORD-000008,CUST-0005,2024-10-22,Cotton Hoodie,Clothing,1,60.05,60.05
ORD-000009,CUST-0269,2024-09-24,Wireless Headphones,Electronics,2,55.76,111.52
ORD-000010,CUST-0118,2023-12-27,Denim Jacket,Clothing,2,47.28,94.56
ORD-000011,CUST-0585,2023-02-04,USB-C Hub,Electronics,2,133.36,266.72
ORD-000012,CUST-0147,2023-12-16,Yoga Leggings,Clothing,1,45.47,45.47
ORD-000013,CUST-0327,2023-04-07,Body Lotion,Beauty,1,60.11,60.11
ORD-000014,CUST-0495,2023-12-01,USB-C Hub,Electronics,1,95.16,95.16
ORD-000015,CUST-0664,2023-02-26,Wireless Headphones,Electronics,1,328.44,328.44
ORD-000016,CUST-0002,2024-06-03,Running Shoes,Clothing,2,21.07,42.14
ORD-000017,CUST-0644,2024-03-27,Graphic T-Shirt,Clothing,1,62.39,62.39
ORD-000018,CUST-0003,2023-12-03,Mechanical Keyboard,Electronics,2,134.04,268.08
ORD-000019,CUST-0005,2024-12-23,Cotton Hoodie,Clothing,2,45.61,91.22
ORD-000020,CUST-0021,2023-06-05,Coffee Grinder,Home & Kitchen,1,127.12,127.12
ORD-000021,CUST-0389,2024-10-18,Face Moisturizer,Beauty,1,7.72,7.72
ORD-000022,CUST-0003,2024-09-10,Wireless Headphones,Electronics,3,93.08,279.24
ORD-000023,CUST-0030,2024-05-03,Cotton Hoodie,Clothing,2,62.05,124.10
ORD-000024,CUST-0140,2023-10-20,Data Analytics Primer,Books,2,6.90,13.80
ORD-000025,CUST-0177,2023-08-25,Air Fryer,Home & Kitchen,2,127.22,254.44
ORD-000026,CUST-0306,2023-01-04,Wireless Headphones,Electronics,1,63.10,63.10
ORD-000027,CUST-0504,2024-12-25,Air Fryer,Home & Kitchen,3,123.05,369.15
ORD-000028,CUST-0087,2023-03-31,Cotton Hoodie,Clothing,1,57.87,57.87
ORD-000029,CUST-0369,2024-01-16,Smart Watch,Electronics,3,320.26,960.78
ORD-000030,CUST-0381,2023-11-18,Foam Roller,Sports,3,123.67,371.01
ORD-000031,CUST-0096,2023-11-05,USB-C Hub,Electronics,3,204.03,612.09
ORD-000032,CUST-0369,2024-11-14,Hair Dryer,Beauty,1,24.18,24.18
ORD-000033,CUST-0582,2024-06-02,Sunscreen SPF 50,Beauty,4,8.05,32.20
ORD-000034,CUST-0016,2023-04-19,Makeup Brush Set,Beauty,1,62.74,62.74
ORD-000035,CUST-0029,2024-12-10,Kitchen Knife Set,Home & Kitchen,1,264.20,264.20
ORD-000036,CUST-0771,2024-12-22,Wireless Headphones,Electronics,1,63.59,63.59
ORD-000037,CUST-0313,2024-04-09,Graphic T-Shirt,Clothing,1,83.45,83.45
ORD-000038,CUST-0500,2023-11-07,Face Moisturizer,Beauty,1,36.10,36.10
ORD-000039,CUST-0156,2023-12-04,Electric Kettle,Home & Kitchen,2,249.64,499.28
ORD-000040,CUST-0036,2024-12-09,Bluetooth Speaker,Electronics,1,38.64,38.64
ORD-000041,CUST-0039,2024-12-14,Data Analytics Primer,Books,2,7.25,14.50
ORD-000042,CUST-0554,2023-02-17,Bluetooth Speaker,Electronics,3,340.02,1020.06
ORD-000043,CUST-0295,2024-03-05,Robot Vacuum,Home & Kitchen,2,113.14,226.28
ORD-000044,CUST-0252,2024-02-04,Water Bottle,Sports,1,63.25,63.25
ORD-000045,CUST-0008,2023-05-20,Coffee Grinder,Home & Kitchen,1,123.14,123.14
ORD-000046,CUST-0357,2023-05-13,Coffee Grinder,Home & Kitchen,2,76.46,152.92
ORD-000047,CUST-0760,2023-12-15,Mechanical Keyboard,Electronics,2,61.32,122.64
ORD-000048,CUST-0489,2023-07-02,USB-C Hub,Electronics,1,63.45,63.45
ORD-000049,CUST-0381,2023-04-23,Running Shoes,Clothing,3,31.08,93.24
ORD-000050,CUST-0334,2024-11-16,Face Moisturizer,Beauty,1,25.15,25.15
ORD-000051,CUST-0825,2024-04-25,Wireless Headphones,Electronics,1,126.40,126.40
ORD-000052,CUST-0013,2024-10-13,Bed Sheet Set,Home & Kitchen,1,41.92,41.92
ORD-000053,CUST-0029,2023-01-08,Kitchen Knife Set,Home & Kitchen,3,73.54,220.62
ORD-000054,CUST-0083,2023-12-11,Wireless Headphones,Electronics,1,367.16,367.16
ORD-000055,CUST-0242,2024-12-21,Vitamin C Serum,Beauty,1,13.23,13.23
ORD-000056,CUST-0031,2024-02-28,Bluetooth Speaker,Electronics,1,40.62,40.62
ORD-000057,CUST-0738,2023-09-14,Adjustable Dumbbell,Sports,1,25.05,25.05
ORD-000058,CUST-0456,2023-03-30,Robot Vacuum,Home & Kitchen,1,250.10,250.10
ORD-000059,CUST-0683,2023-06-21,Wireless Headphones,Electronics,1,41.71,41.71
ORD-000060,CUST-0058,2023-12-13,Vitamin C Serum,Beauty,2,23.04,46.08
ORD-000061,CUST-0247,2024-07-19,Cotton Hoodie,Clothing,2,20.18,40.36
ORD-000062,CUST-0163,2023-03-27,Water Bottle,Sports,2,17.82,35.64
ORD-000063,CUST-0214,2024-05-12,Denim Jacket,Clothing,1,20.36,20.36
ORD-000064,CUST-0241,2024-11-07,Air Fryer,Home & Kitchen,1,264.50,264.50
ORD-000065,CUST-0641,2024-06-19,Air Fryer,Home & Kitchen,3,41.79,125.37
ORD-000066,CUST-0006,2024-11-22,Coffee Grinder,Home & Kitchen,2,124.67,249.34
ORD-000067,CUST-0377,2024-08-04,Wireless Headphones,Electronics,1,87.59,87.59
ORD-000068,CUST-0001,2023-05-29,USB-C Hub,Electronics,1,207.13,207.13
ORD-000069,CUST-0077,2024-04-19,Running Shoes,Clothing,3,20.67,62.01
ORD-000070,CUST-0016,2024-12-23,Wireless Headphones,Electronics,1,137.23,137.23
ORD-000071,CUST-0703,2024-12-22,Air Fryer,Home & Kitchen,1,121.62,121.62
ORD-000072,CUST-0001,2024-07-28,Air Fryer,Home & Kitchen,1,19.29,19.29
ORD-000073,CUST-0051,2024-02-28,Wireless Headphones,Electronics,3,59.53,178.59
ORD-000074,CUST-0446,2023-11-17,Graphic T-Shirt,Clothing,1,78.99,78.99
ORD-000075,CUST-0036,2023-11-16,Data Analytics Primer,Books,1,25.50,25.50
ORD-000076,CUST-0235,2024-05-14,Mechanical Keyboard,Electronics,1,127.40,127.40
ORD-000077,CUST-0161,2024-09-29,Cotton Hoodie,Clothing,1,80.40,80.40
ORD-000078,CUST-0785,2023-01-11,Adjustable Dumbbell,Sports,2,67.44,134.88
ORD-000079,CUST-0008,2023-04-23,Face Moisturizer,Beauty,1,18.94,18.94
ORD-000080,CUST-0017,2024-02-05,Finance Basics,Books,3,19.98,59.94
ORD-000081,CUST-0106,2023-10-29,Foam Roller,Sports,2,64.53,129.06
ORD-000082,CUST-0002,2023-06-01,Smart Watch,Electronics,2,40.87,81.74
ORD-000083,CUST-0113,2023-04-12,Data Analytics Primer,Books,1,35.24,35.24
ORD-000084,CUST-0561,2024-10-17,Hair Dryer,Beauty,2,12.05,24.10
ORD-000085,CUST-0435,2024-11-25,Finance Basics,Books,1,15.02,15.02
ORD-000086,CUST-0023,2024-05-25,Bluetooth Speaker,Electronics,2,209.11,418.22
ORD-000087,CUST-0099,2024-07-12,Trail Backpack,Sports,2,124.43,248.86
ORD-000088,CUST-0090,2024-08-08,Vitamin C Serum,Beauty,1,34.87,34.87
ORD-000089,CUST-0576,2024-08-11,Wireless Headphones,Electronics,2,136.32,272.64
ORD-000090,CUST-0701,2023-02-05,Business Handbook,Books,1,10.55,10.55
ORD-000091,CUST-0004,2024-10-21,Air Fryer,Home & Kitchen,1,20.49,20.49
ORD-000092,CUST-0381,2023-01-22,Bluetooth Speaker,Electronics,1,39.67,39.67
ORD-000093,CUST-0484,2023-11-08,Kitchen Knife Set,Home & Kitchen,1,73.52,73.52
ORD-000094,CUST-0037,2024-11-16,Foam Roller,Sports,2,41.15,82.30
