order_id,customer_id,order_date,product_name,category,quantity,unit_price,revenue
ORD-000001,CUST-0013,2023-10-22,Robot Vacuum,Home & Kitchen,2,38.36,
ORD-000002,CUST-0358,2024-09-14,Face Moisturizer,Beauty,2,7.76,
ORD-000003,CUST-0209,2024-12-23,Sunscreen SPF 50,Beauty,2,25.77,51.54
ORD-000004,CUST-0293,2023-07-22,Running Shoes,Clothing,2,30.62,61.24
ORD-000005,CUST-0155,2024-12-21,Healthy Meal Prep,Books,1,10.04,
ORD-000006,CUST-0361,2024-05-16,Smart Watch,Electronics,1,196.72,196.72
ORD-000007,CUST-0032,2023-04-25,Wireless Headphones,Electronics,2,130.49,
ORD-000008,CUST-0276,2024-02-16,Coffee Grinder,Home & Kitchen,1,40.92,
ORD-000009,CUST-0036,2023-08-11,Data Analytics Primer,Books,1,14.31,14.31
ORD-000010,CUST-0372,2023-07-09,Air Fryer,Home & Kitchen,2,247.45,494.90
ORD-000011,CUST-0379,2023-10-28,Kitchen Knife Set,Home & Kitchen,2,38.69,
ORD-000012,CUST-0002,2024-05-17,Cotton Hoodie,Clothing,1,28.11,
ORD-000013,CUST-0444,2024-08-15,Kitchen Knife Set,Home & Kitchen,1,41.83,41.83
ORD-000014,CUST-0041,2023-11-27,Cotton Hoodie,Clothing,1,46.51,46.51
ORD-000015,CUST-0014,2024-11-08,Vitamin C Serum,Beauty,1,25.87,25.87
ORD-000016,CUST-0263,2024-11-10,Yoga Mat,Sports,2,17.86,
ORD-000017,CUST-0115,2023-07-22,Cotton Hoodie,Clothing,2,60.53,121.06
ORD-000018,CUST-0409,2024-05-29,Coffee Grinder,Home & Kitchen,1,118.22,118.22
ORD-000019,CUST-0290,2024-02-26,Bluetooth Speaker,Electronics,3,61.33,183.99
ORD-000020,CUST-0005,2024-11-28,Portable Charger,Electronics,1,137.67,137.67
ORD-000021,CUST-0046,2024-06-30,Graphic T-Shirt,Clothing,1,74.73,
ORD-000022,CUST-0305,2023-03-25,Yoga Leggings,Clothing,1,28.74,28.74
